017
num-fields|64
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
22|773|0|25|26|315|672|91|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|172.0000|16.0000|15.0000|15.5000|48.0416|45.6135|15.0755|14.5852|25.3541|5.6817|6.3445|5.7928|6.0687|26.5046|22.6823|150.0872|16.4369|25815.0000|1.0678|1.0000|1.1685|51.3415|4.6950|0.9227|0.8178|0.9954|0.0000|160.0000|172.0000|25.3541|-90.0000|0.0000|147.3372|150.7093|154.3837|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:28.360|416_Station40_09012015_10x_000001.tif|3627C9ED-60DE-4AC8-BEB9-5FA6E4EFB39E
23|800|0|38|256|387|316|98|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|2762.0000|246.0000|24.0000|160.4444|562.1076|500.6450|254.3913|17.1064|717.9321|30.2341|133.2355|10.7581|86.0345|310.1148|273.7232|132.1274|26.1120|364936.0000|8.0460|23.2342|1.1330|72.3416|5.0380|0.0000|0.3870|0.1224|0.0000|3977.0000|3125.0000|820.2941|-90.0000|5.0000|128.4019|132.5677|139.6966|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:28.713|416_Station40_09012015_10x_000001.tif|68637BC0-8B96-4823-86F5-157F8C46B6BD
24|840|0|85|163|742|545|104|1|2|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|2861.0000|163.0000|27.0000|113.5000|479.3036|353.3540|167.1827|25.3820|745.7986|30.8153|87.4444|12.4133|60.1353|264.4318|192.4628|127.6040|36.0897|365075.0000|6.0136|16.8330|1.3739|72.9474|5.3500|0.0000|0.5856|0.2707|0.0000|3690.5000|3040.0000|796.2808|-65.0000|20.0000|121.9448|128.9203|135.6340|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:29.010|416_Station40_09012015_10x_000001.tif|103DDF09-7107-480A-A669-8A95D6D670CE
25|927|0|80|26|658|0|107|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|894.0000|70.0000|20.0000|49.3056|167.4975|151.8927|67.8056|18.1276|204.3626|16.1308|36.1364|8.5513|24.7192|92.4084|81.3165|103.7752|33.9353|92775.0000|2.4973|5.6691|1.1364|66.4510|5.4910|0.0282|0.6246|0.4621|0.0000|945.5000|894.0000|204.3626|0.0000|-90.0000|97.3277|105.2472|112.9116|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:29.160|416_Station40_09012015_10x_000001.tif|21424456-AC5C-4E98-BB87-C5C0540138BB
26|1009|0|28|27|674|374|118|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|222.0000|19.0000|15.0000|17.7222|55.4558|52.3450|18.7290|15.1615|36.2398|6.7928|7.9996|5.7928|7.2947|30.5950|26.3961|138.7928|20.6836|30812.0000|1.1024|1.0000|1.1591|71.1250|6.0370|0.8667|0.9126|0.9736|0.0000|208.0000|222.0000|36.2398|-70.0000|45.0000|134.0270|139.9099|145.3559|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:29.710|416_Station40_09012015_10x_000001.tif|4C4F80EB-A6FA-4F67-94D8-39787D423B96
27|1039|0|27|27|111|580|123|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|196.0000|19.0000|16.0000|17.3611|53.4558|51.6609|17.5861|16.1517|30.5103|6.2327|7.9996|6.3445|7.0955|29.4916|26.0187|136.0561|5.6281|26667.0000|1.0197|1.0000|1.1335|41.4783|6.2860|0.9292|0.9121|0.9960|0.0000|206.5000|223.0000|36.4628|-40.0000|20.0000|134.8622|136.6939|136.1429|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:29.960|416_Station40_09012015_10x_000001.tif|4D5E06F9-BF81-4EE6-A5E6-64F36E62C333
28|1068|0|107|168|689|786|126|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|2741.0000|174.0000|30.0000|120.8889|527.0437|376.6519|176.7926|24.1795|712.0262|30.1095|93.5131|14.0683|64.2117|290.7700|205.3162|132.0077|25.7495|361833.0000|7.7181|22.2021|1.4162|71.3200|6.4420|0.0000|0.5106|0.2291|0.0000|4027.5000|2864.0000|746.6436|-60.0000|30.0000|130.6151|131.3750|138.8632|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:30.110|416_Station40_09012015_10x_000001.tif|8C701978-C647-4C5C-AD50-1E85D4F31ECA
29|1177|0|24|24|1172|468|127|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|143.0000|15.0000|13.0000|14.3889|44.3848|42.1011|14.2256|13.1374|19.3352|4.9617|5.7928|4.6894|5.4557|24.4871|20.7445|130.0350|41.8125|18595.0000|1.0963|1.0000|1.1804|97.6923|6.4890|0.8631|0.7602|0.9712|0.0000|131.5000|143.0000|19.3352|5.0000|-75.0000|134.8392|128.6434|124.5245|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:30.160|416_Station40_09012015_10x_000001.tif|2BFD2868-375F-4519-9024-AFE260F51E90
30|1203|0|27|35|1086|60|134|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|292.0000|25.0000|17.0000|21.7778|70.0416|65.4360|24.1851|17.0062|52.2333|8.1551|11.3098|6.8962|9.5321|38.6420|33.6184|126.0788|43.7794|36815.0000|1.2277|1.0000|1.1494|96.0000|6.8480|0.7528|0.7964|0.9264|0.0000|305.5000|318.0000|58.3395|-90.0000|0.0000|128.5788|124.5719|127.0993|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:30.512|416_Station40_09012015_10x_000001.tif|BE574B6A-028C-4038-A4F1-46FC70A717D8
31|1232|0|32|29|1160|577|136|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|299.0000|22.0000|17.0000|20.5278|65.6985|61.5057|22.0681|17.3443|53.8696|8.2818|9.6547|6.8962|8.8425|36.2459|31.4501|148.1472|30.4855|44296.0000|1.1488|1.0000|1.1525|52.2982|6.9420|0.8351|0.8758|0.9665|0.0000|286.5000|299.0000|53.8696|0.0000|75.0000|151.7692|145.8729|150.3880|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:30.609|416_Station40_09012015_10x_000001.tif|05F734F0-0498-4ABD-8FD1-47C90A3368C9
32|1266|0|23|43|1231|38|138|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|278.0000|34.0000|13.0000|24.6389|83.4558|74.2069|32.5253|11.8816|48.9788|7.8969|16.2752|4.6894|11.1106|46.0426|38.4573|125.5288|46.9035|34897.0000|1.9937|4.0143|1.1972|91.4342|7.0350|0.3951|0.4385|0.5904|0.0000|298.5000|278.0000|48.9788|85.0000|0.0000|127.3165|124.0072|128.7518|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:30.709|416_Station40_09012015_10x_000001.tif|B2EC69EC-A59E-4A57-A928-8F30638FFF0B
33|0|258|26|34|593|906|150|1|2|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|67.0000|24.0000|16.0000|19.7778|63.2132|58.9991|25.5915|14.9422|5.3623|2.6130|10.7581|6.3445|8.4287|34.8747|30.0671|179.8358|22.3651|12049.0000|4.7460|12.8322|1.1599|40.6491|7.6440|0.2569|0.1127|0.1943|0.0000|203.5000|67.0000|5.3623|-80.0000|0.0000|184.9104|177.6567|177.5672|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:31.312|416_Station40_09012015_10x_000001.tif|F6F5A744-A142-4349-B9FF-BBE2F231AC7F
34|28|258|25|27|1053|916|153|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|209.0000|19.0000|15.0000|16.8056|51.7990|50.0089|17.5959|15.1458|33.3581|6.5171|7.9996|5.7928|6.7890|28.5775|25.1073|142.6842|23.6274|29821.0000|1.0216|1.0000|1.1382|64.4565|7.8000|0.8991|0.9834|0.9874|0.0000|191.0000|209.0000|33.3581|-60.0000|0.0000|145.7608|141.2632|142.1531|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:31.460|416_Station40_09012015_10x_000001.tif|83292A32-5093-484F-B82F-E166A0BD3463
